reference,solution,solved,accuracy,program_operation_score,program_position_score,program_order_score,program_edit_score,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0","LIST|COUNT,<0,0|TAKE,1,0",True,1.0,1.0,1.0,1.0,1.0,1080,43.02215576171875
"LIST|FILTER,<0,0|ZIPWITH,*,0,1","LIST|FILTER,<0,0|ZIPWITH,*,1,0",True,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,1301,57.29913711547852
"LIST|FILTER,<0,0|ZIPWITH,*,1,1","LIST|FILTER,<0,0|MAP,**2,1",True,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,1257,65.91033935546875
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,590,25.069475173950195
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,835,34.881591796875
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,354,13.666152954101562
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,842,34.38711166381836
"LIST|FILTER,ODD,0|MAP,*4,1","LIST|FILTER,ODD,0|MAP,*4,1",True,1.0,1.0,1.0,1.0,1.0,1343,57.58237838745117
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,1.0,0.5,0.5,0.5,0.5,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,-,2",True,1.0,0.5,0.5,0.5,0.5,437,21.92521095275879
