reference,solution,solved,exact_match,program_operation_score,program_position_score,program_sequence_score,program_edit_score,partial_correctness,best_effort_program,best_effort_operation_score,best_effort_position_score,best_effort_sequence_score,best_effort_edit_score,best_effort_partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,<0,0|ZIPWITH,max,1,0",0.0,0.0,0.0,0.0,0.0,1000,98.81949424743652
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|HEAD,0|DROP,1,0",0.0,0.0,0.0,0.0,0.0,1000,137.50863075256348
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,193.08972358703613
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,*-1,0|FILTER,<0,1",0.0,0.0,0.0,0.0,0.0,590,63.2936954498291
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,"LIST|FILTER,>0,0|TAIL,1",1.0,1.0,1.0,1.0,1.0,835,91.23516082763672
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|MAP,+1,0|FILTER,ODD,1",0.0,0.0,0.0,0.0,0.0,354,33.32209587097168
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|FILTER,>0,0|COUNT,ODD,1",0.0,0.0,0.0,0.0,0.0,842,81.51865005493164
"LIST|FILTER,ODD,0|MAP,*4,1",,False,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1000,196.79498672485352
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.0,0.0,0.0,0.0,0.0,LIST|INT,0.0,0.0,0.0,0.0,0.0,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,-,2",True,0.0,0.0,0.0,0.0,0.0,0.0,"LIST|INT|TAKE,1,0|SCAN1L,-,2",0.0,0.0,0.0,0.0,0.0,437,57.38115310668945
