reference,solution,solved,nb_steps,wall_ms,best_partial_solution,best_partial_match_fraction
"LIST|COUNT,<0,0|TAKE,1,0",None,False,1007,142.33803749084473,"LIST|FILTER,<0,0|ZIPWITH,max,1,0",0.4
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",None,False,1000,178.2205104827881,"LIST|ZIPWITH,*,0,0|FILTER,<0,1",0.4
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",None,False,1000,185.9438419342041,None,0.0
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,534,84.8379135131836,None,
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,954,110.48769950866699,None,
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,458,54.85892295837402,None,
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,946,115.74220657348633,None,
"LIST|FILTER,ODD,0|MAP,*4,1",None,False,1001,145.94054222106934,None,0.0
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,1,0.0,None,
"LIST|INT|SCAN1L,-,0|TAKE,1,2",None,False,1000,180.93276023864746,"LIST|INT|ZIPWITH,*,0,0|SCAN1L,-,0",0.8
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|SCAN1L,max,0|TAKE,1,2",True,842,108.21723937988281,None,
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|ZIPWITH,-,0,0|REVERSE,0",True,79,1.997232437133789,None,
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|ZIPWITH,*,0,0|SCAN1L,*,0",True,43,0.0,None,
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|ZIPWITH,-,0,0|ZIPWITH,+,0,0",True,21,0.0,None,
"LIST|LIST|COUNT,<0,0|TAKE,2,1",None,False,1004,120.7122802734375,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,1,2",0.6
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",None,False,1004,126.18374824523926,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,0,2",0.2
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",None,False,1001,102.46992111206055,"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,-,1,2",0.2
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",None,False,1001,127.8538703918457,"LIST|LIST|ZIPWITH,-,0,0|FILTER,>0,2",0.2
