reference,solution,solved,accuracy,program_operation_score,program_position_score,program_order_score,program_edit_score,partial_correctness,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0","LIST|COUNT,<0,0|TAKE,1,0",True,1.0,1.0,1.0,1.0,1.0,1.0,1080,38.97523880004883
"LIST|FILTER,<0,0|ZIPWITH,*,0,1","LIST|FILTER,<0,0|ZIPWITH,*,1,0",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,1301,35.97354888916016
"LIST|FILTER,<0,0|ZIPWITH,*,1,1","LIST|FILTER,<0,0|MAP,**2,1",True,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,1257,37.561893463134766
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,590,13.344764709472656
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,1.0,1.0,1.0,1.0,1.0,1.0,835,17.02260971069336
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,354,6.999492645263672
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337,842,29.555082321166992
"LIST|FILTER,ODD,0|MAP,*4,1","LIST|FILTER,ODD,0|MAP,*4,1",True,1.0,1.0,1.0,1.0,1.0,1.0,1343,45.99642753601074
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,0.0,0.5,0.5,0.5,0.5,0.5,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,-,2",True,0.0,0.5,0.5,0.5,0.5,0.5,437,16.009807586669922
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|TAKE,1,0|SCAN1L,max,2",True,0.0,0.5,0.5,0.5,0.5,0.5,402,15.012264251708984
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|HEAD,0|REVERSE,0",True,0.0,0.5,0.5,0.5,0.5,0.5,6,0.0
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|HEAD,0|SCAN1L,*,0",True,0.0,0.5,0.5,0.5,0.5,0.5,35,2.012014389038086
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|HEAD,0|MAP,*2,0",True,0.0,0.5,0.5,0.5,0.5,0.5,17,0.9918212890625
"LIST|LIST|COUNT,<0,0|TAKE,2,1","LIST|LIST|COUNT,<0,0|TAKE,2,1",True,1.0,1.0,1.0,1.0,1.0,1.0,4118,130.35011291503906
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0","LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,3382,109.24029350280762
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0","LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",True,1.0,1.0,1.0,1.0,1.0,1.0,3373,108.6885929107666
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2","LIST|LIST|FILTER,>0,1|ZIPWITH,+,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,3346,84.24735069274902
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2","LIST|LIST|FILTER,ODD,1|ZIPWITH,max,2,0",True,0.0,0.75,0.75,0.75,0.75,0.75,3787,81.60972595214844
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.8,0.6,0.6,0.6,0.65,22,1.0004043579101562
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|HEAD,0|DROP,2,0",True,0.0,0.6,0.6,0.6,0.6,0.6,22,0.0
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",,False,0.0,0.0,0.0,0.0,0.0,0.0,10000,270.2374458312988
