reference,solution,solved,nb_steps,wall_ms
"LIST|COUNT,<0,0|TAKE,1,0",None,False,1007,48.152923583984375
"LIST|FILTER,<0,0|ZIPWITH,*,0,1",None,False,1000,35.40444374084473
"LIST|FILTER,<0,0|ZIPWITH,*,1,1",None,False,1000,45.94254493713379
"LIST|FILTER,>0,0|MAP,*-1,1","LIST|MAP,*-1,0|FILTER,<0,1",True,534,18.535375595092773
"LIST|FILTER,>0,0|TAIL,1","LIST|FILTER,>0,0|TAIL,1",True,954,31.912565231323242
"LIST|FILTER,EVEN,0|MAP,+1,1","LIST|MAP,+1,0|FILTER,ODD,1",True,458,12.435197830200195
"LIST|FILTER,ODD,0|COUNT,>0,1","LIST|FILTER,>0,0|COUNT,ODD,1",True,946,30.980587005615234
"LIST|FILTER,ODD,0|MAP,*4,1",None,False,1001,42.580604553222656
"LIST|INT|MAP,/3,0|ACCESS,1,2",LIST|INT,True,1,0.0
"LIST|INT|SCAN1L,-,0|TAKE,1,2",None,False,1000,36.136627197265625
"LIST|INT|SCAN1L,max,0|TAKE,1,2","LIST|INT|SCAN1L,max,0|TAKE,1,2",True,842,34.13510322570801
"LIST|INT|TAKE,1,0|REVERSE,2","LIST|INT|ZIPWITH,-,0,0|REVERSE,0",True,79,2.0139217376708984
"LIST|INT|TAKE,1,0|SCAN1L,*,2","LIST|INT|ZIPWITH,*,0,0|SCAN1L,*,0",True,43,1.0037422180175781
"LIST|INT|TAKE,1,0|ZIPWITH,+,2,2","LIST|INT|ZIPWITH,-,0,0|ZIPWITH,+,0,0",True,21,0.9815692901611328
"LIST|LIST|COUNT,<0,0|TAKE,2,1",None,False,1004,43.890953063964844
"LIST|LIST|FILTER,<0,1|ZIPWITH,max,2,0",None,False,1004,32.529592514038086
"LIST|LIST|FILTER,<0,1|ZIPWITH,min,2,0",None,False,1001,40.055036544799805
"LIST|LIST|FILTER,>0,1|ZIPWITH,+,0,2",None,False,1001,30.243396759033203
"LIST|LIST|FILTER,ODD,1|ZIPWITH,max,0,2",None,False,1004,51.07879638671875
"LIST|LIST|INT|DROP,2,0|ZIPWITH,+,1,3","LIST|LIST|INT|ZIPWITH,-,0,0|FILTER,>0,3",True,92,3.53240966796875
"LIST|LIST|INT|DROP,2,1|ZIPWITH,+,3,0","LIST|LIST|INT|ZIPWITH,-,0,0|FILTER,>0,3",True,92,4.812002182006836
"LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,3,2",True,221,7.682323455810547
"LIST|LIST|LIST|ZIPWITH,*,1,2|ZIPWITH,*,3,0","LIST|LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,*,3,2",True,206,7.416486740112305
"LIST|LIST|LIST|ZIPWITH,+,1,2|ZIPWITH,+,3,0",None,False,1000,37.69493103027344
"LIST|LIST|LIST|ZIPWITH,+,2,1|ZIPWITH,*,3,0",None,False,1000,27.525901794433594
"LIST|LIST|LIST|ZIPWITH,-,0,1|ZIPWITH,*,3,2",None,False,1000,38.98119926452637
"LIST|LIST|LIST|ZIPWITH,-,1,2|ZIPWITH,+,0,3",None,False,1000,39.74747657775879
"LIST|LIST|LIST|ZIPWITH,min,0,2|ZIPWITH,max,3,1",None,False,1000,49.58820343017578
"LIST|LIST|MAP,**2,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,*,2,1",True,5,0.0
"LIST|LIST|MAP,*3,0|ZIPWITH,-,2,1",None,False,1001,43.573617935180664
"LIST|LIST|MAP,-1,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,1",True,148,8.681058883666992
"LIST|LIST|MAP,-1,1|ZIPWITH,max,2,0",None,False,1001,36.77988052368164
"LIST|LIST|MAP,/3,0|ZIPWITH,*,1,2",None,False,1000,45.77374458312988
"LIST|LIST|MAP,/3,0|ZIPWITH,-,2,1",None,False,1001,46.94199562072754
"LIST|LIST|MAP,/4,1|ZIPWITH,max,2,0",None,False,1001,32.53984451293945
"LIST|LIST|SCAN1L,-,0|ZIPWITH,*,1,2",None,False,1000,45.320987701416016
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,0,2",None,False,1000,37.89877891540527
"LIST|LIST|SCAN1L,-,1|ZIPWITH,max,2,0",None,False,1000,27.778148651123047
"LIST|LIST|SORT,1|ZIPWITH,*,0,2",None,False,1000,34.86299514770508
"LIST|LIST|TAIL,0|TAKE,2,1",None,False,1001,28.72753143310547
"LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,1,2","LIST|LIST|ZIPWITH,*,0,0|ZIPWITH,max,2,1",True,22,1.005411148071289
"LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2","LIST|LIST|ZIPWITH,*,0,1|FILTER,>0,2",True,227,7.995128631591797
"LIST|LIST|ZIPWITH,*,0,1|REVERSE,2","LIST|LIST|ZIPWITH,*,0,1|REVERSE,2",True,260,6.997585296630859
"LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,4.000425338745117
"LIST|LIST|ZIPWITH,*,1,0|ZIPWITH,+,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,+,2,1",True,157,6.465435028076172
"LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2","LIST|LIST|ZIPWITH,*,1,1|ZIPWITH,-,0,2",True,14,0.9996891021728516
"LIST|LIST|ZIPWITH,+,0,1|MINIMUM,2",None,False,1001,31.93521499633789
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,1,2","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,4.376411437988281
"LIST|LIST|ZIPWITH,-,0,0|ZIPWITH,*,2,1","LIST|LIST|ZIPWITH,*,0,1|ZIPWITH,-,2,2",True,146,5.9051513671875
